epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2602.05,1.76769,1.63293,0.01738,0.73357,0.70952,0.73389,0.31442,1.97684,1.25953,0.02385,0.00103555,0.00103555,0.00103555
43,2667.73,1.68848,1.55358,0.01741,0.80004,0.70727,0.74321,0.35606,1.87705,1.24365,0.02179,0.00102566,0.00102566,0.00102566
44,2733.89,1.69531,1.5395,0.01735,0.75191,0.71183,0.74178,0.32186,1.96985,1.25242,0.02386,0.00101559,0.00101559,0.00101559
45,2798.44,1.71827,1.58152,0.0176,0.7254,0.72043,0.74162,0.34663,1.89793,1.21839,0.02235,0.00100535,0.00100535,0.00100535
46,2860.79,1.71784,1.5639,0.01748,0.73221,0.70441,0.71611,0.29923,2.01752,1.25779,0.02362,0.000994942,0.000994942,0.000994942
47,2923.62,1.70167,1.5046,0.01669,0.74436,0.7053,0.73332,0.34356,1.88712,1.23139,0.02234,0.000984379,0.000984379,0.000984379
48,2990.23,1.72307,1.51968,0.01729,0.75939,0.7014,0.73964,0.34216,1.89199,1.27158,0.02264,0.000973661,0.000973661,0.000973661
49,3056.07,1.69148,1.53965,0.01691,0.77333,0.68287,0.74173,0.3238,1.9522,1.23736,0.02242,0.000962793,0.000962793,0.000962793
50,3117.44,1.68134,1.47442,0.01681,0.80057,0.67777,0.74573,0.34708,1.92617,1.20187,0.02263,0.000951779,0.000951779,0.000951779
51,3179.56,1.69253,1.48936,0.01654,0.76417,0.71403,0.74604,0.34317,1.92293,1.1878,0.02265,0.000940625,0.000940625,0.000940625
52,3241.71,1.68369,1.49469,0.01694,0.7596,0.71573,0.76603,0.35458,1.91117,1.18585,0.02228,0.000929335,0.000929335,0.000929335
53,3304.65,1.68061,1.45157,0.01687,0.7681,0.70466,0.76894,0.37414,1.86028,1.14136,0.02172,0.000917914,0.000917914,0.000917914
54,3363.9,1.67251,1.45521,0.01707,0.76803,0.6938,0.74454,0.33719,1.94137,1.2822,0.02247,0.000906368,0.000906368,0.000906368
55,3425.23,1.67891,1.46115,0.01679,0.74724,0.72374,0.75188,0.32574,1.95351,1.17546,0.02333,0.000894701,0.000894701,0.000894701
56,3483.76,1.68541,1.44436,0.01605,0.75569,0.7083,0.75864,0.34322,1.94824,1.22108,0.02203,0.000882918,0.000882918,0.000882918
57,3542.53,1.65843,1.41249,0.01611,0.74436,0.73816,0.76448,0.3789,1.87091,1.12028,0.02174,0.000871025,0.000871025,0.000871025
58,3602.35,1.6558,1.4195,0.01629,0.79099,0.70109,0.77235,0.37662,1.83274,1.15105,0.02055,0.000859027,0.000859027,0.000859027
59,3661.92,1.6579,1.43424,0.01624,0.70909,0.69923,0.72817,0.31808,1.9803,1.27686,0.02338,0.000846929,0.000846929,0.000846929
60,3721.83,1.64643,1.42812,0.01662,0.75746,0.75055,0.76626,0.33978,1.98228,1.18722,0.02329,0.000834736,0.000834736,0.000834736
61,3780.66,1.65332,1.40614,0.01648,0.78546,0.67295,0.74851,0.36804,1.87363,1.2082,0.02176,0.000822454,0.000822454,0.000822454
62,3837.21,1.64999,1.37148,0.01689,0.77702,0.67958,0.73801,0.35303,1.87143,1.2337,0.02212,0.000810088,0.000810088,0.000810088
63,3895.96,1.6434,1.40401,0.01599,0.76574,0.71937,0.75703,0.35818,1.92112,1.23381,0.0225,0.000797644,0.000797644,0.000797644
64,3954.79,1.64734,1.34338,0.01559,0.80876,0.72639,0.77207,0.35302,1.94643,1.13758,0.02222,0.000785127,0.000785127,0.000785127
65,4012.94,1.61449,1.27314,0.01602,0.77875,0.69208,0.75951,0.36674,1.91154,1.26637,0.02256,0.000772542,0.000772542,0.000772542
66,4073.26,1.64736,1.34663,0.01622,0.79417,0.72828,0.77784,0.37579,1.8928,1.16158,0.02209,0.000759895,0.000759895,0.000759895
67,4133.84,1.62332,1.34071,0.01587,0.78634,0.74036,0.7912,0.38952,1.86709,1.11943,0.02128,0.000747192,0.000747192,0.000747192
68,4189.16,1.62157,1.31475,0.01579,0.79573,0.71638,0.77806,0.38633,1.8891,1.14338,0.02181,0.000734438,0.000734438,0.000734438
69,4248.19,1.60579,1.29696,0.01565,0.80042,0.7107,0.77023,0.37912,1.8799,1.17557,0.02135,0.000721639,0.000721639,0.000721639
70,4307.89,1.61912,1.30846,0.01609,0.78457,0.74159,0.78585,0.37099,1.91552,1.12287,0.02179,0.0007088,0.0007088,0.0007088
71,4367.56,1.62247,1.33119,0.01547,0.78598,0.70657,0.76948,0.38257,1.85925,1.17091,0.02148,0.000695927,0.000695927,0.000695927
72,4427.49,1.60288,1.34303,0.01533,0.76486,0.74651,0.77757,0.38478,1.83969,1.13143,0.02066,0.000683026,0.000683026,0.000683026
73,4487.16,1.60004,1.26948,0.01533,0.8037,0.74293,0.79611,0.38708,1.86041,1.13298,0.02193,0.000670102,0.000670102,0.000670102
74,4546.26,1.61806,1.26756,0.01603,0.77289,0.73262,0.77028,0.39188,1.8177,1.20447,0.02091,0.000657161,0.000657161,0.000657161
75,4603.22,1.59612,1.2063,0.01552,0.8119,0.73943,0.79521,0.40418,1.81955,1.10083,0.02033,0.000644208,0.000644208,0.000644208
76,4661.75,1.61108,1.26958,0.01554,0.78789,0.73684,0.77388,0.37719,1.86302,1.14825,0.02127,0.00063125,0.00063125,0.00063125
77,4720.95,1.59844,1.26077,0.01564,0.74267,0.75891,0.78365,0.3962,1.85037,1.16152,0.02079,0.000618292,0.000618292,0.000618292
78,4780.48,1.57092,1.23628,0.01529,0.77248,0.75131,0.78484,0.38969,1.85251,1.10131,0.02067,0.000605339,0.000605339,0.000605339
79,4839.75,1.57796,1.21238,0.0155,0.82443,0.71991,0.78423,0.39791,1.84913,1.13189,0.02133,0.000592398,0.000592398,0.000592398
80,4899.04,1.59957,1.27083,0.01553,0.79635,0.75512,0.78601,0.38736,1.86766,1.12753,0.02108,0.000579474,0.000579474,0.000579474
81,4955.89,1.57539,1.22029,0.01518,0.84845,0.69363,0.77997,0.40609,1.84787,1.13463,0.02091,0.000566573,0.000566573,0.000566573
82,5015.02,1.5784,1.23136,0.01547,0.78552,0.75194,0.7897,0.39404,1.85234,1.18708,0.02067,0.0005537,0.0005537,0.0005537
83,5074.38,1.57321,1.20654,0.01527,0.8101,0.72204,0.77854,0.38959,1.85567,1.14971,0.02078,0.000540861,0.000540861,0.000540861
84,5133.85,1.55877,1.20897,0.01456,0.78496,0.76078,0.79502,0.39786,1.8397,1.1476,0.02071,0.000528062,0.000528062,0.000528062
85,5193.72,1.54987,1.17639,0.01562,0.80525,0.73538,0.77628,0.38652,1.88618,1.13927,0.02171,0.000515308,0.000515308,0.000515308
86,5251.45,1.57182,1.22397,0.01482,0.79411,0.76215,0.79413,0.39434,1.82682,1.1374,0.02051,0.000502605,0.000502605,0.000502605
87,5309.22,1.55046,1.17573,0.01504,0.82195,0.7528,0.80436,0.40741,1.85259,1.09709,0.02095,0.000489958,0.000489958,0.000489958
88,5369.19,1.57262,1.25446,0.01556,0.8336,0.73462,0.78532,0.39109,1.8375,1.18295,0.02082,0.000477373,0.000477373,0.000477373
89,5427.22,1.54262,1.18633,0.01457,0.77373,0.76132,0.78682,0.40005,1.84389,1.16612,0.02043,0.000464856,0.000464856,0.000464856
90,5484.62,1.54073,1.18212,0.0147,0.79496,0.76062,0.79911,0.39996,1.82839,1.09584,0.02071,0.000452412,0.000452412,0.000452412
